year,month,size,count
2014.0,4.0,6.5<9.5kW,223
2014.0,4.0,9.5<14kW,226
2014.0,4.0,14<25kW,89
2014.0,4.0,25<=100kW,95
2014.0,5.0,<2.5kW,3186
2014.0,5.0,2.5<4.5kW,6155
2014.0,5.0,4.5<6.5kW,5937
2014.0,5.0,6.5<9.5kW,299
2014.0,5.0,9.5<14kW,312
2014.0,5.0,14<25kW,136
2014.0,5.0,25<=100kW,161
2014.0,6.0,<2.5kW,2901
2014.0,6.0,2.5<4.5kW,5306
2014.0,6.0,4.5<6.5kW,5395
2014.0,6.0,6.5<9.5kW,271
2014.0,6.0,9.5<14kW,243
2014.0,6.0,14<25kW,136
2014.0,6.0,25<=100kW,164
2014.0,7.0,<2.5kW,3303
2014.0,7.0,2.5<4.5kW,6192
2014.0,7.0,4.5<6.5kW,5836
2014.0,7.0,6.5<9.5kW,306
2014.0,7.0,9.5<14kW,280
2014.0,7.0,14<25kW,162
2014.0,7.0,25<=100kW,182
2014.0,8.0,<2.5kW,3059
2014.0,8.0,2.5<4.5kW,5589
2014.0,8.0,4.5<6.5kW,5178
2014.0,8.0,6.5<9.5kW,328
2014.0,8.0,9.5<14kW,291
2014.0,8.0,14<25kW,155
2014.0,8.0,25<=100kW,179
2014.0,9.0,<2.5kW,3555
2014.0,9.0,2.5<4.5kW,6140
2014.0,9.0,4.5<6.5kW,5872
2014.0,9.0,6.5<9.5kW,382
2014.0,9.0,9.5<14kW,305
2014.0,9.0,14<25kW,155
2014.0,9.0,25<=100kW,168
2014.0,10.0,<2.5kW,3312
2014.0,10.0,2.5<4.5kW,6489
2014.0,10.0,4.5<6.5kW,5935
2014.0,10.0,6.5<9.5kW,373
2014.0,10.0,9.5<14kW,336
2014.0,10.0,14<25kW,193
2014.0,10.0,25<=100kW,173
2014.0,11.0,<2.5kW,2542
2014.0,11.0,2.5<4.5kW,5472
2014.0,11.0,4.5<6.5kW,5158
2014.0,11.0,6.5<9.5kW,371
2014.0,11.0,9.5<14kW,289
2014.0,11.0,14<25kW,128
2014.0,11.0,25<=100kW,195
2014.0,12.0,<2.5kW,2187
2014.0,12.0,2.5<4.5kW,5355
2014.0,12.0,4.5<6.5kW,4946
2014.0,12.0,6.5<9.5kW,384
2014.0,12.0,9.5<14kW,292
2014.0,12.0,14<25kW,169
2014.0,12.0,25<=100kW,199
2015.0,1.0,<2.5kW,2072
2015.0,1.0,2.5<4.5kW,4474
2015.0,1.0,4.5<6.5kW,4175
2015.0,1.0,6.5<9.5kW,268
2015.0,1.0,9.5<14kW,212
2015.0,1.0,14<25kW,128
2015.0,1.0,25<=100kW,136
2015.0,2.0,<2.5kW,2239
2015.0,2.0,2.5<4.5kW,4767
2015.0,2.0,4.5<6.5kW,4892
2015.0,2.0,6.5<9.5kW,350
2015.0,2.0,9.5<14kW,290
2015.0,2.0,14<25kW,165
2015.0,2.0,25<=100kW,173
2015.0,3.0,<2.5kW,2295
2015.0,3.0,2.5<4.5kW,4853
2015.0,3.0,4.5<6.5kW,5019
2015.0,3.0,6.5<9.5kW,391
2015.0,3.0,9.5<14kW,275
2015.0,3.0,14<25kW,168
2015.0,3.0,25<=100kW,164
2015.0,4.0,<2.5kW,1909
2015.0,4.0,2.5<4.5kW,4066
2015.0,4.0,4.5<6.5kW,4241
2015.0,4.0,6.5<9.5kW,326
2015.0,4.0,9.5<14kW,252
2015.0,4.0,14<25kW,157
2015.0,4.0,25<=100kW,121
2015.0,5.0,<2.5kW,2013
2015.0,5.0,2.5<4.5kW,4072
2015.0,5.0,4.5<6.5kW,4545
2015.0,5.0,6.5<9.5kW,381
2015.0,5.0,9.5<14kW,288
2015.0,5.0,14<25kW,155
2015.0,5.0,25<=100kW,173
2015.0,6.0,<2.5kW,1853
2015.0,6.0,2.5<4.5kW,4046
2015.0,6.0,4.5<6.5kW,4817
2015.0,6.0,6.5<9.5kW,388
2015.0,6.0,9.5<14kW,295
2015.0,6.0,14<25kW,205
2015.0,6.0,25<=100kW,183
2015.0,7.0,<2.5kW,2011
2015.0,7.0,2.5<4.5kW,4306
2015.0,7.0,4.5<6.5kW,5649
2015.0,7.0,6.5<9.5kW,434
2015.0,7.0,9.5<14kW,341
2015.0,7.0,14<25kW,190
2015.0,7.0,25<=100kW,178
2015.0,8.0,<2.5kW,1574
2015.0,8.0,2.5<4.5kW,3954
2015.0,8.0,4.5<6.5kW,5116
2015.0,8.0,6.5<9.5kW,380
2015.0,8.0,9.5<14kW,272
2015.0,8.0,14<25kW,151
2015.0,8.0,25<=100kW,174
2015.0,9.0,<2.5kW,1641
2015.0,9.0,2.5<4.5kW,3948
2015.0,9.0,4.5<6.5kW,5162
2015.0,9.0,6.5<9.5kW,401
2015.0,9.0,9.5<14kW,283
2015.0,9.0,14<25kW,188
2015.0,9.0,25<=100kW,154
2015.0,10.0,<2.5kW,1586
2015.0,10.0,2.5<4.5kW,3809
2015.0,10.0,4.5<6.5kW,5072
2015.0,10.0,6.5<9.5kW,401
2015.0,10.0,9.5<14kW,276
2015.0,10.0,14<25kW,146
2015.0,10.0,25<=100kW,191
2015.0,11.0,<2.5kW,1502
2015.0,11.0,2.5<4.5kW,3866
