year,month,state,size,capacity
2011,5,aus,7,636
2011,5,aus,8,600
2011,5,aus,9,0
2011,5,aus,a,0
2011,6,aus,0,79830
2011,6,aus,1,53730
2011,6,aus,2,20536
2011,6,aus,3,2344
2011,6,aus,4,5513
2011,6,aus,5,2044
2011,6,aus,6,1925
2011,6,aus,7,1517
2011,6,aus,8,0
2011,6,aus,9,0
2011,6,aus,a,0
2011,7,aus,0,24594
2011,7,aus,1,19136
2011,7,aus,2,6894
2011,7,aus,3,647
2011,7,aus,4,1590
2011,7,aus,5,667
2011,7,aus,6,583
2011,7,aus,7,110
2011,7,aus,8,0
2011,7,aus,9,0
2011,7,aus,a,0
2011,8,aus,0,22186
2011,8,aus,1,22485
2011,8,aus,2,8765
2011,8,aus,3,564
2011,8,aus,4,1464
2011,8,aus,5,457
2011,8,aus,6,772
2011,8,aus,7,0
2011,8,aus,8,0
2011,8,aus,9,0
2011,8,aus,a,0
2011,9,aus,0,22678
2011,9,aus,1,27479
2011,9,aus,2,13131
2011,9,aus,3,892
2011,9,aus,4,1466
2011,9,aus,5,574
2011,9,aus,6,1080
2011,9,aus,7,56
2011,9,aus,8,1206
2011,9,aus,9,0
2011,9,aus,a,0
2011,10,aus,0,16248
2011,10,aus,1,16600
2011,10,aus,2,7521
2011,10,aus,3,843
2011,10,aus,4,1504
2011,10,aus,5,452
2011,10,aus,6,916
2011,10,aus,7,0
2011,10,aus,8,0
2011,10,aus,9,0
2011,10,aus,a,0
2011,11,aus,0,16810
2011,11,aus,1,17822
2011,11,aus,2,9184
2011,11,aus,3,921
2011,11,aus,4,2392
2011,11,aus,5,355
2011,11,aus,6,977
2011,11,aus,7,51
2011,11,aus,8,0
2011,11,aus,9,0
2011,11,aus,a,0
2011,12,aus,0,13714
2011,12,aus,1,14380
2011,12,aus,2,8275
2011,12,aus,3,864
2011,12,aus,4,1061
2011,12,aus,5,584
2011,12,aus,6,988
2011,12,aus,7,50
2011,12,aus,8,235
2011,12,aus,9,0
2011,12,aus,a,0
2012,1,aus,0,12704
2012,1,aus,1,12289
2012,1,aus,2,7067
2012,1,aus,3,559
2012,1,aus,4,1004
2012,1,aus,5,203
2012,1,aus,6,606
2012,1,aus,7,206
2012,1,aus,8,0
2012,1,aus,9,0
2012,1,aus,a,0
2012,2,aus,0,19593
2012,2,aus,1,17677
2012,2,aus,2,10389
2012,2,aus,3,835
2012,2,aus,4,1266
2012,2,aus,5,429
2012,2,aus,6,771
2012,2,aus,7,121
2012,2,aus,8,2090
2012,2,aus,9,0
2012,2,aus,a,0
2012,3,aus,0,23357
2012,3,aus,1,21208
2012,3,aus,2,14024
2012,3,aus,3,1098
2012,3,aus,4,1503
2012,3,aus,5,459
2012,3,aus,6,688
2012,3,aus,7,99
2012,3,aus,8,216
2012,3,aus,9,0
2012,3,aus,a,0
2012,4,aus,0,26055
2012,4,aus,1,24459
2012,4,aus,2,17120
2012,4,aus,3,990
2012,4,aus,4,1432
2012,4,aus,5,754
2012,4,aus,6,602
2012,4,aus,7,116
2012,4,aus,8,0
2012,4,aus,9,0
2012,4,aus,a,0
2012,5,aus,0,39697
2012,5,aus,1,43662
2012,5,aus,2,31537
2012,5,aus,3,2255
2012,5,aus,4,2256
2012,5,aus,5,1052
2012,5,aus,6,1365
2012,5,aus,7,317
2012,5,aus,8,239
2012,5,aus,9,0
2012,5,aus,a,0
2012,6,aus,0,47999
2012,6,aus,1,65076
2012,6,aus,2,53599
2012,6,aus,3,3657
2012,6,aus,4,5061
2012,6,aus,5,1785
2012,6,aus,6,1460
2012,6,aus,7,417
2012,6,aus,8,348
2012,6,aus,9,0
2012,6,aus,a,0
2012,7,aus,0,19752
2012,7,aus,1,30133
2012,7,aus,2,24027
2012,7,aus,3,1258
2012,7,aus,4,1530
2012,7,aus,5,1247
2012,7,aus,6,886
2012,7,aus,7,116
2012,7,aus,8,0
2012,7,aus,9,0
2012,7,aus,a,0
2012,8,aus,0,19599
2012,8,aus,1,32934
2012,8,aus,2,30435
2012,8,aus,3,1919
2012,8,aus,4,1658
2012,8,aus,5,832
2012,8,aus,6,828
2012,8,aus,7,206
2012,8,aus,8,0
2012,8,aus,9,10000
2012,8,aus,a,0
2012,9,aus,0,17500
2012,9,aus,1,34654
2012,9,aus,2,35771
2012,9,aus,3,2290
2012,9,aus,4,2366
2012,9,aus,5,1735
2012,9,aus,6,1311
2012,9,aus,7,263
2012,9,aus,8,0
2012,9,aus,9,0
2012,9,aus,a,0
2012,10,aus,0,15651
2012,10,aus,1,26168
2012,10,aus,2,25335
2012,10,aus,3,1733
2012,10,aus,4,1547
2012,10,aus,5,1225
2012,10,aus,6,710
2012,10,aus,7,592
2012,10,aus,8,465
2012,10,aus,9,0
2012,10,aus,a,0
2012,11,aus,0,15307
2012,11,aus,1,26019
2012,11,aus,2,26085
2012,11,aus,3,1898
2012,11,aus,4,1755
2012,11,aus,5,1065
2012,11,aus,6,1279
2012,11,aus,7,411
2012,11,aus,8,630
2012,11,aus,9,0
2012,11,aus,a,0
2012,12,aus,0,18357
2012,12,aus,1,36931
2012,12,aus,2,39433
2012,12,aus,3,3625
2012,12,aus,4,3842
2012,12,aus,5,1841
2012,12,aus,6,1709
2012,12,aus,7,644
2012,12,aus,8,403
2012,12,aus,9,0
2012,12,aus,a,0
2013,1,aus,0,9500
2013,1,aus,1,17951
2013,1,aus,2,17915
2013,1,aus,3,1437
2013,1,aus,4,1947
2013,1,aus,5,1131
2013,1,aus,6,1047
2013,1,aus,7,811
2013,1,aus,8,142
2013,1,aus,9,0
2013,1,aus,a,0
2013,2,aus,0,8884
2013,2,aus,1,18802
2013,2,aus,2,20337
2013,2,aus,3,1827
2013,2,aus,4,2232
2013,2,aus,5,1717
2013,2,aus,6,1169
2013,2,aus,7,936
2013,2,aus,8,200
2013,2,aus,9,0
2013,2,aus,a,0
2013,3,aus,0,8565
2013,3,aus,1,19190
2013,3,aus,2,23565
2013,3,aus,3,2129
2013,3,aus,4,2207
2013,3,aus,5,1758
2013,3,aus,6,1753
2013,3,aus,7,1376
2013,3,aus,8,342
2013,3,aus,9,0
2013,3,aus,a,0
