year,month,size,installations,capacity
2009,1,4.5 to 6.5 kW,,66
2009,1,6.5 to 9.5 kW,,15
2009,1,9.5 to 14 kW,,10
2009,1,14 to 25 kW,,16
2009,1,25 to 100 kW,,0
2009,1,100 kW to 5 MW,,0
2009,1,5 MW to 30 MW,,0
2009,1,More than 30 MW,,0
2009,2,Less than 2.5 kW,,3292
2009,2,2.5 to 4.5 kW,,302
2009,2,4.5 to 6.5 kW,,94
2009,2,6.5 to 9.5 kW,,23
2009,2,9.5 to 14 kW,,0
2009,2,14 to 25 kW,,43
2009,2,25 to 100 kW,,0
2009,2,100 kW to 5 MW,,0
2009,2,5 MW to 30 MW,,0
2009,2,More than 30 MW,,0
2009,3,Less than 2.5 kW,,3985
2009,3,2.5 to 4.5 kW,,381
2009,3,4.5 to 6.5 kW,,114
2009,3,6.5 to 9.5 kW,,9
2009,3,9.5 to 14 kW,,10
2009,3,14 to 25 kW,,15
2009,3,25 to 100 kW,,100
2009,3,100 kW to 5 MW,,0
2009,3,5 MW to 30 MW,,0
2009,3,More than 30 MW,,0
2009,4,Less than 2.5 kW,,3804
2009,4,2.5 to 4.5 kW,,380
2009,4,4.5 to 6.5 kW,,181
2009,4,6.5 to 9.5 kW,,35
2009,4,9.5 to 14 kW,,48
2009,4,14 to 25 kW,,23
2009,4,25 to 100 kW,,0
2009,4,100 kW to 5 MW,,0
2009,4,5 MW to 30 MW,,0
2009,4,More than 30 MW,,0
2009,5,Less than 2.5 kW,,4529
2009,5,2.5 to 4.5 kW,,435
2009,5,4.5 to 6.5 kW,,168
2009,5,6.5 to 9.5 kW,,48
2009,5,9.5 to 14 kW,,30
2009,5,14 to 25 kW,,14
2009,5,25 to 100 kW,,56
2009,5,100 kW to 5 MW,,0
2009,5,5 MW to 30 MW,,0
2009,5,More than 30 MW,,0
2009,6,Less than 2.5 kW,,4802
2009,6,2.5 to 4.5 kW,,377
2009,6,4.5 to 6.5 kW,,149
2009,6,6.5 to 9.5 kW,,16
2009,6,9.5 to 14 kW,,33
2009,6,14 to 25 kW,,87
2009,6,25 to 100 kW,,0
2009,6,100 kW to 5 MW,,304
2009,6,5 MW to 30 MW,,0
2009,6,More than 30 MW,,0
2009,7,Less than 2.5 kW,,5625
2009,7,2.5 to 4.5 kW,,491
2009,7,4.5 to 6.5 kW,,244
2009,7,6.5 to 9.5 kW,,45
2009,7,9.5 to 14 kW,,32
2009,7,14 to 25 kW,,40
2009,7,25 to 100 kW,,34
2009,7,100 kW to 5 MW,,0
2009,7,5 MW to 30 MW,,0
2009,7,More than 30 MW,,0
2009,8,Less than 2.5 kW,,6206
2009,8,2.5 to 4.5 kW,,686
2009,8,4.5 to 6.5 kW,,186
2009,8,6.5 to 9.5 kW,,60
2009,8,9.5 to 14 kW,,96
2009,8,14 to 25 kW,,32
2009,8,25 to 100 kW,,71
2009,8,100 kW to 5 MW,,0
2009,8,5 MW to 30 MW,,0
2009,8,More than 30 MW,,0
2009,9,Less than 2.5 kW,,7107
2009,9,2.5 to 4.5 kW,,858
2009,9,4.5 to 6.5 kW,,312
2009,9,6.5 to 9.5 kW,,33
2009,9,9.5 to 14 kW,,130
2009,9,14 to 25 kW,,103
2009,9,25 to 100 kW,,129
2009,9,100 kW to 5 MW,,0
2009,9,5 MW to 30 MW,,0
2009,9,More than 30 MW,,0
2009,10,Less than 2.5 kW,,9018
2009,10,2.5 to 4.5 kW,,1065
2009,10,4.5 to 6.5 kW,,426
2009,10,6.5 to 9.5 kW,,53
2009,10,9.5 to 14 kW,,43
2009,10,14 to 25 kW,,59
2009,10,25 to 100 kW,,57
2009,10,100 kW to 5 MW,,1000
2009,10,5 MW to 30 MW,,0
2009,10,More than 30 MW,,0
2009,11,Less than 2.5 kW,,10666
2009,11,2.5 to 4.5 kW,,1314
2009,11,4.5 to 6.5 kW,,522
2009,11,6.5 to 9.5 kW,,89
2009,11,9.5 to 14 kW,,98
2009,11,14 to 25 kW,,61
2009,11,25 to 100 kW,,0
2009,11,100 kW to 5 MW,,336
2009,11,5 MW to 30 MW,,0
2009,11,More than 30 MW,,0
2009,12,Less than 2.5 kW,,9477
2009,12,2.5 to 4.5 kW,,1503
2009,12,4.5 to 6.5 kW,,524
2009,12,6.5 to 9.5 kW,,113
2009,12,9.5 to 14 kW,,138
2009,12,14 to 25 kW,,40
2009,12,25 to 100 kW,,167
2009,12,100 kW to 5 MW,,320
2009,12,5 MW to 30 MW,,0
2009,12,More than 30 MW,,0
2010,1,Less than 2.5 kW,7881,9896
2010,1,2.5 to 4.5 kW,401,1327
2010,1,4.5 to 6.5 kW,88,467
2010,1,6.5 to 9.5 kW,10,77
2010,1,9.5 to 14 kW,16,166
2010,1,14 to 25 kW,0,0
2010,1,25 to 100 kW,2,64
2010,1,100 kW to 5 MW,,1114
2010,1,5 MW to 30 MW,,0
2010,1,More than 30 MW,,0
2010,2,Less than 2.5 kW,9387,12154
2010,2,2.5 to 4.5 kW,718,2371
2010,2,4.5 to 6.5 kW,133,697
2010,2,6.5 to 9.5 kW,23,183
2010,2,9.5 to 14 kW,29,297
2010,2,14 to 25 kW,5,100
2010,2,25 to 100 kW,0,0
2010,2,100 kW to 5 MW,,0
2010,2,5 MW to 30 MW,,0
2010,2,More than 30 MW,,0
2010,3,Less than 2.5 kW,11921,16235
2010,3,2.5 to 4.5 kW,1006,3305
2010,3,4.5 to 6.5 kW,202,1075
2010,3,6.5 to 9.5 kW,34,260
2010,3,9.5 to 14 kW,51,516
2010,3,14 to 25 kW,7,153
2010,3,25 to 100 kW,7,249
2010,3,100 kW to 5 MW,,0
2010,3,5 MW to 30 MW,,0
2010,3,More than 30 MW,,0
2010,4,Less than 2.5 kW,11838,16754
2010,4,2.5 to 4.5 kW,1260,4030
2010,4,4.5 to 6.5 kW,224,1185
2010,4,6.5 to 9.5 kW,30,235
2010,4,9.5 to 14 kW,53,530
2010,4,14 to 25 kW,7,135
2010,4,25 to 100 kW,1,29
2010,4,100 kW to 5 MW,,0
2010,4,5 MW to 30 MW,,0
2010,4,More than 30 MW,,0
2010,5,Less than 2.5 kW,14743,21194
2010,5,2.5 to 4.5 kW,1562,4927
2010,5,4.5 to 6.5 kW,243,1278
2010,5,6.5 to 9.5 kW,48,368
2010,5,9.5 to 14 kW,82,812
2010,5,14 to 25 kW,4,67
2010,5,25 to 100 kW,5,244
2010,5,100 kW to 5 MW,,300
2010,5,5 MW to 30 MW,,0
2010,5,More than 30 MW,,0
2010,6,Less than 2.5 kW,15577,23016
2010,6,2.5 to 4.5 kW,1941,6213
2010,6,4.5 to 6.5 kW,395,2084
2010,6,6.5 to 9.5 kW,64,512
2010,6,9.5 to 14 kW,166,1670
2010,6,14 to 25 kW,7,114
2010,6,25 to 100 kW,10,449
2010,6,100 kW to 5 MW,,0
2010,6,5 MW to 30 MW,,0
2010,6,More than 30 MW,,0
2010,7,Less than 2.5 kW,13667,21645
2010,7,2.5 to 4.5 kW,2383,7685
2010,7,4.5 to 6.5 kW,503,2634
2010,7,6.5 to 9.5 kW,78,610
2010,7,9.5 to 14 kW,161,1636
2010,7,14 to 25 kW,7,125
2010,7,25 to 100 kW,9,290
2010,7,100 kW to 5 MW,,0
2010,7,5 MW to 30 MW,,0
2010,7,More than 30 MW,,0
2010,8,Less than 2.5 kW,13902,22739
2010,8,2.5 to 4.5 kW,2625,8449
2010,8,4.5 to 6.5 kW,565,2946
2010,8,6.5 to 9.5 kW,96,748
2010,8,9.5 to 14 kW,181,1838
2010,8,14 to 25 kW,10,185
2010,8,25 to 100 kW,11,443
2010,8,100 kW to 5 MW,,0
2010,8,5 MW to 30 MW,,0
2010,8,More than 30 MW,,0
2010,9,Less than 2.5 kW,14993,24651
2010,9,2.5 to 4.5 kW,3043,9802
2010,9,4.5 to 6.5 kW,651,3392
2010,9,6.5 to 9.5 kW,93,726
2010,9,9.5 to 14 kW,216,2181
2010,9,14 to 25 kW,14,241
2010,9,25 to 100 kW,12,494
2010,9,100 kW to 5 MW,,0
2010,9,5 MW to 30 MW,,0
2010,9,More than 30 MW,,0
2010,10,Less than 2.5 kW,16737,27595
2010,10,2.5 to 4.5 kW,3376,10843
2010,10,4.5 to 6.5 kW,723,3741
2010,10,6.5 to 9.5 kW,121,944
2010,10,9.5 to 14 kW,195,1984
2010,10,14 to 25 kW,9,152
2010,10,25 to 100 kW,9,362
