year,month,state,capacity
2018,3,nsw+act,34597.0
2018,4,nsw+act,47531.0
2018,5,nsw+act,116705.0
2018,6,nsw+act,37161.0
2018,7,nsw+act,44114.0
2018,8,nsw+act,43507.0
2018,9,nsw+act,252527.0
2018,10,nsw+act,42212.0
2018,11,nsw+act,48133.0
2018,12,nsw+act,52812.0
2019,1,nsw+act,32231.0
2019,2,nsw+act,44554.0
2019,3,nsw+act,47063.0
2019,4,nsw+act,152198.0
2019,5,nsw+act,51534.0
2019,6,nsw+act,49502.0
2019,7,nsw+act,59980.0
2019,8,nsw+act,284935.0
2019,9,nsw+act,56834.0
2019,10,nsw+act,318815.0
2019,11,nsw+act,210338.0
2019,12,nsw+act,720465.0
2020,1,nsw+act,48796.0
2020,2,nsw+act,71010.0
2020,3,nsw+act,195644.0
2020,4,nsw+act,73081.0
2020,5,nsw+act,71523.0
2020,6,nsw+act,169044.0
2020,7,nsw+act,87351.0
2020,8,nsw+act,84885.0
2020,9,nsw+act,101395.0
2020,10,nsw+act,128765.0
2020,11,nsw+act,304318.0
2020,12,nsw+act,179361.0
2021,1,nsw+act,73088.0
2021,2,nsw+act,135490.0
2021,3,nsw+act,100402.0
2021,4,nsw+act,93520.0
2021,5,nsw+act,104481.0
2021,6,nsw+act,241525.0
2021,7,nsw+act,148458.0
2021,8,nsw+act,250714.0
2021,9,nsw+act,83889.0
2021,10,nsw+act,204043.0
2021,11,nsw+act,198095.0
2021,12,nsw+act,108572.0
2022,1,nsw+act,44708.0
2022,2,nsw+act,64490.0
2022,3,nsw+act,203653.0
2022,4,nsw+act,53035.0
2022,5,nsw+act,61730.0
2022,6,nsw+act,44817.0
2007,1,nt,10.0
2007,2,nt,5.0
2007,3,nt,8.0
2007,4,nt,18.0
2007,6,nt,10.0
2007,7,nt,20.0
2007,8,nt,1.0
2007,9,nt,15.0
2007,10,nt,21.0
2007,11,nt,7.0
2007,12,nt,69.0
2008,1,nt,7.0
2008,2,nt,1.0
2008,3,nt,16.0
2008,4,nt,21.0
2008,5,nt,6.0
2008,6,nt,56.0
2008,7,nt,52.0
2008,8,nt,34.0
2008,9,nt,89.0
2008,10,nt,31.0
2008,11,nt,22.0
2008,12,nt,84.0
2009,1,nt,16.0
2009,2,nt,31.0
2009,3,nt,27.0
2009,4,nt,12.0
2009,5,nt,13.0
2009,6,nt,318.0
2009,7,nt,55.0
2009,8,nt,55.0
2009,9,nt,69.0
2009,10,nt,49.0
2009,11,nt,102.0
2009,12,nt,69.0
2010,1,nt,84.0
2010,2,nt,148.0
2010,3,nt,136.0
2010,4,nt,145.0
2010,5,nt,121.0
2010,6,nt,125.0
2010,7,nt,211.0
2010,8,nt,74.0
2010,9,nt,269.0
2010,10,nt,93.0
2010,11,nt,59.0
2010,12,nt,43.0
2011,1,nt,26.0
2011,2,nt,2.0
2011,3,nt,174.0
2011,4,nt,111.0
2011,5,nt,249.0
2011,6,nt,386.0
2011,7,nt,111.0
2011,8,nt,45.0
2011,9,nt,1087.0
2011,10,nt,133.0
2011,11,nt,198.0
2011,12,nt,595.0
2012,1,nt,74.0
2012,2,nt,83.0
2012,3,nt,120.0
2012,4,nt,120.0
2012,5,nt,338.0
2012,6,nt,421.0
2012,7,nt,80.0
2012,8,nt,121.0
2012,9,nt,147.0
2012,10,nt,126.0
2012,11,nt,544.0
2012,12,nt,851.0
2013,1,nt,298.0
2013,2,nt,293.0
2013,3,nt,365.0
2013,4,nt,304.0
2013,5,nt,415.0
2013,6,nt,546.0
2013,7,nt,734.0
