year,month,size,count
2014,2,6.5 to 9.5 kW,255
2014,2,9.5 to 14 kW,240
2014,2,14 to 25 kW,94
2014,2,25 to 100 kW,93
2014,3,Less than 2.5 kW,3027
2014,3,2.5 to 4.5 kW,5500
2014,3,4.5 to 6.5 kW,4988
2014,3,6.5 to 9.5 kW,249
2014,3,9.5 to 14 kW,245
2014,3,14 to 25 kW,114
2014,3,25 to 100 kW,141
2014,4,Less than 2.5 kW,2766
2014,4,2.5 to 4.5 kW,5156
2014,4,4.5 to 6.5 kW,4943
2014,4,6.5 to 9.5 kW,223
2014,4,9.5 to 14 kW,226
2014,4,14 to 25 kW,89
2014,4,25 to 100 kW,95
2014,5,Less than 2.5 kW,3186
2014,5,2.5 to 4.5 kW,6155
2014,5,4.5 to 6.5 kW,5937
2014,5,6.5 to 9.5 kW,299
2014,5,9.5 to 14 kW,312
2014,5,14 to 25 kW,136
2014,5,25 to 100 kW,161
2014,6,Less than 2.5 kW,2901
2014,6,2.5 to 4.5 kW,5306
2014,6,4.5 to 6.5 kW,5395
2014,6,6.5 to 9.5 kW,271
2014,6,9.5 to 14 kW,243
2014,6,14 to 25 kW,136
2014,6,25 to 100 kW,164
2014,7,Less than 2.5 kW,3303
2014,7,2.5 to 4.5 kW,6192
2014,7,4.5 to 6.5 kW,5836
2014,7,6.5 to 9.5 kW,306
2014,7,9.5 to 14 kW,280
2014,7,14 to 25 kW,162
2014,7,25 to 100 kW,182
2014,8,Less than 2.5 kW,3059
2014,8,2.5 to 4.5 kW,5589
2014,8,4.5 to 6.5 kW,5178
2014,8,6.5 to 9.5 kW,328
2014,8,9.5 to 14 kW,291
2014,8,14 to 25 kW,155
2014,8,25 to 100 kW,179
2014,9,Less than 2.5 kW,3555
2014,9,2.5 to 4.5 kW,6140
2014,9,4.5 to 6.5 kW,5872
2014,9,6.5 to 9.5 kW,382
2014,9,9.5 to 14 kW,305
2014,9,14 to 25 kW,155
2014,9,25 to 100 kW,168
2014,10,Less than 2.5 kW,3312
2014,10,2.5 to 4.5 kW,6489
2014,10,4.5 to 6.5 kW,5935
2014,10,6.5 to 9.5 kW,373
2014,10,9.5 to 14 kW,336
2014,10,14 to 25 kW,193
2014,10,25 to 100 kW,173
2014,11,Less than 2.5 kW,2542
2014,11,2.5 to 4.5 kW,5472
2014,11,4.5 to 6.5 kW,5158
2014,11,6.5 to 9.5 kW,371
2014,11,9.5 to 14 kW,289
2014,11,14 to 25 kW,128
2014,11,25 to 100 kW,195
2014,12,Less than 2.5 kW,2187
2014,12,2.5 to 4.5 kW,5355
2014,12,4.5 to 6.5 kW,4946
2014,12,6.5 to 9.5 kW,384
2014,12,9.5 to 14 kW,292
2014,12,14 to 25 kW,169
2014,12,25 to 100 kW,199
2015,1,Less than 2.5 kW,2072
2015,1,2.5 to 4.5 kW,4474
2015,1,4.5 to 6.5 kW,4175
2015,1,6.5 to 9.5 kW,268
2015,1,9.5 to 14 kW,212
2015,1,14 to 25 kW,128
2015,1,25 to 100 kW,136
2015,2,Less than 2.5 kW,2239
