year,month,state,size,capacity
2017,7,aus,2,11
2017,7,aus,3,16
2017,7,aus,4,17
2017,7,aus,5,0
2017,8,aus,0,15
2017,8,aus,1,55
2017,8,aus,2,12
2017,8,aus,3,15
2017,8,aus,4,2
2017,8,aus,5,0
2017,9,aus,0,13
2017,9,aus,1,52
2017,9,aus,2,13
2017,9,aus,3,16
2017,9,aus,4,3
2017,9,aus,5,0
2017,10,aus,0,13
2017,10,aus,1,58
2017,10,aus,2,14
2017,10,aus,3,19
2017,10,aus,4,4
2017,10,aus,5,0
2017,11,aus,0,15
2017,11,aus,1,68
2017,11,aus,2,18
2017,11,aus,3,22
2017,11,aus,4,27
2017,11,aus,5,0
2017,12,aus,0,13
2017,12,aus,1,66
2017,12,aus,2,20
2017,12,aus,3,40
2017,12,aus,4,15
2017,12,aus,5,129
2018,1,aus,0,12
2018,1,aus,1,55
2018,1,aus,2,11
2018,1,aus,3,10
2018,1,aus,4,24
2018,1,aus,5,34
2018,2,aus,0,14
2018,2,aus,1,63
2018,2,aus,2,15
2018,2,aus,3,16
2018,2,aus,4,11
2018,2,aus,5,0
2018,3,aus,0,14
2018,3,aus,1,67
2018,3,aus,2,18
2018,3,aus,3,19
2018,3,aus,4,23
2018,3,aus,5,339
2018,4,aus,0,12
2018,4,aus,1,61
2018,4,aus,2,16
2018,4,aus,3,19
2018,4,aus,4,26
2018,4,aus,5,0
2018,5,aus,0,14
2018,5,aus,1,69
2018,5,aus,2,21
2018,5,aus,3,26
2018,5,aus,4,49
2018,5,aus,5,193
2018,6,aus,0,11
2018,6,aus,1,65
2018,6,aus,2,20
2018,6,aus,3,26
2018,6,aus,4,15
2018,6,aus,5,0
2018,7,aus,0,11
2018,7,aus,1,74
2018,7,aus,2,21
2018,7,aus,3,19
2018,7,aus,4,9
2018,7,aus,5,385
2018,8,aus,0,12
2018,8,aus,1,81
2018,8,aus,2,23
2018,8,aus,3,22
2018,8,aus,4,13
2018,8,aus,5,207
2018,9,aus,0,11
2018,9,aus,1,83
2018,9,aus,2,20
2018,9,aus,3,19
2018,9,aus,4,36
2018,9,aus,5,657
2018,10,aus,0,13
2018,10,aus,1,98
2018,10,aus,2,23
2018,10,aus,3,23
2018,10,aus,4,30
2018,10,aus,5,112
2018,11,aus,0,13
2018,11,aus,1,113
2018,11,aus,2,26
2018,11,aus,3,29
2018,11,aus,4,13
2018,11,aus,5,205
2018,12,aus,0,11
2018,12,aus,1,98
2018,12,aus,2,31
2018,12,aus,3,46
2018,12,aus,4,18
2018,12,aus,5,75
2019,1,aus,0,10
2019,1,aus,1,87
2019,1,aus,2,15
2019,1,aus,3,11
